id,time,appCat.utilities
AS14.01,2014-04-28 10:37:44.331,4.01
AS14.01,2014-04-28 10:38:30.490,7.076
AS14.01,2014-04-28 12:46:45.601,37.159
AS14.01,2014-04-28 13:49:42.871,16.143
AS14.01,2014-04-28 13:51:05.283,5.019
AS14.01,2014-04-28 13:52:30.703,7.021
AS14.01,2014-04-28 13:53:07.880,42.137
AS14.01,2014-04-28 13:55:15.506,2.008
AS14.01,2014-04-28 13:56:31.854,16.051
AS14.01,2014-04-28 15:06:10.154,33.453
AS14.01,2014-04-28 15:07:15.615,5.237
AS14.01,2014-04-28 15:07:41.944,16.047
AS14.01,2014-04-28 15:16:19.272,15.053
AS14.01,2014-04-28 15:16:52.405,23.09
AS14.01,2014-04-28 15:17:37.730,9.105
AS14.01,2014-04-29 10:31:41.990,24.192
AS14.01,2014-04-29 10:34:01.930,5.223
AS14.01,2014-04-29 11:48:24.234,56.223
AS14.01,2014-04-29 15:27:02.651,39.159
AS14.01,2014-04-29 15:32:45.305,63.617
AS14.01,2014-04-29 16:32:13.661,1.006
AS14.01,2014-04-29 16:32:14.668,17.479
AS14.01,2014-04-29 16:33:08.385,4.024
AS14.01,2014-04-29 18:04:47.085,12.045
AS14.01,2014-04-29 19:03:22.145,1.003
AS14.01,2014-04-29 19:03:23.150,10.219
AS14.01,2014-04-29 19:37:34.072,77.993
AS14.01,2014-04-29 19:38:54.661,0.989
AS14.01,2014-04-29 19:39:33.161,20.767
AS14.01,2014-04-29 19:40:14.130,7.141
AS14.01,2014-04-29 19:42:16.082,42.205
AS14.01,2014-04-29 19:43:03.407,16.077
AS14.01,2014-04-29 21:54:59.039,1.021
AS14.01,2014-04-29 21:55:00.150,10.053
AS14.01,2014-04-30 14:24:02.611,1.002
AS14.01,2014-04-30 14:24:03.618,29.302
AS14.01,2014-04-30 14:34:42.071,24.378
AS14.01,2014-04-30 14:40:44.625,2.049
AS14.01,2014-04-30 20:25:10.075,55.564
AS14.01,2014-05-01 00:11:42.427,22.179
AS14.01,2014-05-01 00:12:05.874,14.036
AS14.01,2014-05-01 00:14:04.357,43.474
AS14.01,2014-05-01 00:15:12.029,18.055
AS14.01,2014-05-01 00:18:14.848,33.114
AS14.01,2014-05-01 00:18:59.003,39.157
AS14.01,2014-05-01 00:20:12.431,9.029
AS14.01,2014-05-01 00:23:35.940,1.007
AS14.01,2014-05-01 00:23:36.954,11.058
AS14.01,2014-05-01 00:24:05.104,21.093
AS14.01,2014-05-01 16:22:24.022,6.094
AS14.01,2014-05-01 19:18:47.967,6.022
AS14.01,2014-05-01 21:12:28.177,23.09
AS14.01,2014-05-01 21:12:59.456,2.006
AS14.01,2014-05-01 22:07:22.525,20.155
AS14.01,2014-05-02 10:35:44.335,5.017
AS14.01,2014-05-02 20:55:25.957,6.066
AS14.01,2014-05-03 10:05:30.674,76.319
AS14.01,2014-05-03 10:51:16.381,21.132
AS14.01,2014-05-03 11:46:13.374,4.07
AS14.01,2014-05-03 14:03:36.736,24.084
AS14.01,2014-05-05 00:15:26.313,164.567
AS14.01,2014-05-05 00:18:14.953,48.138
AS14.01,2014-05-05 00:19:42.322,48.156
AS14.01,2014-05-05 09:41:03.888,3.47
AS14.02,2014-03-27 13:59:02.842,1.019
AS14.02,2014-03-27 13:59:03.898,2.033
AS14.02,2014-03-27 13:59:05.960,1.094
AS14.02,2014-03-27 13:59:07.059,5.661
AS14.02,2014-03-27 13:59:18.183,3.447
AS14.02,2014-03-27 14:00:04.457,3.036
AS14.02,2014-03-27 14:09:47.020,3.546
AS14.02,2014-03-27 14:26:03.921,2.877
AS14.02,2014-03-27 14:42:16.118,2.799
AS14.02,2014-03-27 14:43:23.828,3.565
AS14.02,2014-03-27 14:43:36.069,6.037
AS14.02,2014-03-27 14:44:40.023,6.685
AS14.02,2014-03-27 14:46:22.233,11.3
AS14.02,2014-03-27 14:47:39.089,11.992
AS14.02,2014-03-27 14:48:13.309,2.072
AS14.02,2014-04-10 17:29:18.154,1.017
AS14.02,2014-04-10 17:29:19.184,1.028
AS14.02,2014-04-12 19:09:37.832,1.063
AS14.02,2014-04-12 19:09:38.927,5.923
AS14.02,2014-04-14 16:10:26.298,1.006
AS14.02,2014-04-14 16:10:27.364,2.168
AS14.02,2014-04-14 16:10:29.805,20.052
AS14.02,2014-04-14 16:10:49.861,2.03
AS14.02,2014-04-14 18:40:29.125,1.022
AS14.02,2014-04-14 18:40:30.153,15.142
AS14.02,2014-04-14 18:40:45.302,30.094
AS14.02,2014-04-14 18:42:15.263,9.459
AS14.02,2014-04-14 19:05:33.322,3.515
AS14.03,2014-03-22 21:42:38.887,4.35
AS14.03,2014-03-24 17:00:09.437,5.136
AS14.03,2014-03-25 12:51:39.128,21.219
AS14.03,2014-03-25 20:10:07.148,0.482
AS14.03,2014-03-25 20:10:25.812,7.142
AS14.03,2014-03-27 09:38:49.108,13.124
AS14.03,2014-03-27 20:54:58.861,4.366
AS14.03,2014-03-28 08:57:47.749,7.045
AS14.03,2014-03-31 09:28:52.342,5.16
AS14.03,2014-04-03 10:04:42.582,22.155
AS14.03,2014-04-03 10:05:40.677,7.042
