id,time,sms
AS14.07,2014-04-28 10:59:10.457,1.0
AS14.07,2014-04-28 12:03:02.598,1.0
AS14.07,2014-04-28 17:10:19.417,1.0
AS14.07,2014-04-29 10:48:09.378,1.0
AS14.07,2014-04-29 11:40:58.023,1.0
AS14.07,2014-04-29 11:56:20.305,1.0
AS14.07,2014-04-29 12:00:36.506,1.0
AS14.07,2014-04-29 12:01:23.960,1.0
AS14.07,2014-04-29 12:02:18.710,1.0
AS14.07,2014-04-29 12:45:50.186,1.0
AS14.07,2014-04-29 12:45:58.809,1.0
AS14.07,2014-04-29 21:08:57.730,1.0
AS14.08,2014-02-17 12:51:38.029,1.0
AS14.08,2014-02-17 12:51:44.464,1.0
AS14.08,2014-02-17 14:14:34.601,1.0
AS14.08,2014-02-17 14:35:54.927,1.0
AS14.08,2014-02-18 23:05:39.954,1.0
AS14.08,2014-02-18 23:06:04.378,1.0
AS14.08,2014-02-28 14:33:57.878,1.0
AS14.08,2014-02-28 14:34:43.069,1.0
AS14.08,2014-02-28 14:35:27.938,1.0
AS14.08,2014-02-28 14:35:41.809,1.0
AS14.08,2014-03-03 16:03:25.003,1.0
AS14.08,2014-03-03 18:06:05.334,1.0
AS14.08,2014-03-03 18:23:20.259,1.0
AS14.08,2014-03-03 18:36:13.243,1.0
AS14.08,2014-03-03 19:06:37.023,1.0
AS14.08,2014-03-03 19:18:07.345,1.0
AS14.08,2014-03-03 19:23:11.045,1.0
AS14.08,2014-03-06 17:10:36.987,1.0
AS14.08,2014-03-06 17:58:04.838,1.0
AS14.08,2014-03-06 17:59:07.111,1.0
AS14.08,2014-03-06 17:59:29.335,1.0
AS14.08,2014-03-06 17:59:43.000,1.0
AS14.08,2014-03-06 18:01:13.293,1.0
AS14.08,2014-03-06 18:01:56.895,1.0
AS14.08,2014-03-06 18:18:23.006,1.0
AS14.08,2014-03-06 18:19:03.232,1.0
AS14.08,2014-03-06 21:29:49.793,1.0
AS14.08,2014-03-06 21:37:31.476,1.0
AS14.08,2014-03-06 21:38:08.395,1.0
AS14.08,2014-03-06 21:38:47.776,1.0
AS14.08,2014-03-07 20:44:07.921,1.0
AS14.08,2014-03-07 20:44:42.017,1.0
AS14.08,2014-03-07 20:44:59.266,1.0
AS14.08,2014-03-10 12:21:15.332,1.0
AS14.08,2014-03-10 12:58:52.085,1.0
AS14.08,2014-03-10 13:15:26.828,1.0
AS14.08,2014-03-10 21:17:54.841,1.0
AS14.08,2014-03-11 13:29:23.105,1.0
AS14.08,2014-03-11 15:21:42.835,1.0
AS14.08,2014-03-11 15:24:05.420,1.0
AS14.08,2014-03-13 11:20:50.841,1.0
AS14.08,2014-03-13 14:15:15.924,1.0
AS14.08,2014-03-13 14:16:58.565,1.0
AS14.08,2014-03-13 14:17:18.974,1.0
AS14.08,2014-03-13 15:24:20.025,1.0
AS14.08,2014-03-13 15:28:59.920,1.0
AS14.08,2014-03-13 17:00:18.788,1.0
AS14.08,2014-03-13 17:01:35.937,1.0
AS14.08,2014-03-13 17:46:35.009,1.0
AS14.08,2014-03-13 17:47:29.832,1.0
AS14.08,2014-03-13 17:48:37.177,1.0
AS14.08,2014-03-14 10:18:07.023,1.0
AS14.08,2014-03-14 10:19:20.736,1.0
AS14.08,2014-03-14 10:21:36.470,1.0
AS14.08,2014-03-14 10:21:59.444,1.0
AS14.08,2014-03-14 10:22:31.509,1.0
AS14.08,2014-03-14 10:22:56.023,1.0
AS14.08,2014-03-14 11:07:57.210,1.0
AS14.08,2014-03-14 11:08:32.680,1.0
AS14.08,2014-03-14 11:10:04.986,1.0
AS14.08,2014-03-14 11:10:25.009,1.0
AS14.08,2014-03-14 21:15:17.848,1.0
AS14.08,2014-03-15 11:38:02.131,1.0
AS14.08,2014-03-15 20:41:42.618,1.0
AS14.08,2014-03-15 22:01:54.555,1.0
AS14.08,2014-03-20 08:41:40.697,1.0
AS14.08,2014-03-21 18:03:39.351,1.0
AS14.08,2014-03-21 18:07:21.861,1.0
AS14.08,2014-03-21 18:08:26.592,1.0
AS14.08,2014-03-21 18:16:44.009,1.0
AS14.08,2014-03-25 22:01:33.953,1.0
AS14.08,2014-03-26 09:31:54.194,1.0
AS14.08,2014-03-26 13:47:48.946,1.0
AS14.08,2014-03-26 13:48:18.793,1.0
AS14.08,2014-03-26 18:13:39.858,1.0
AS14.08,2014-03-26 21:19:34.759,1.0
AS14.08,2014-03-27 17:02:19.457,1.0
AS14.08,2014-03-27 19:30:58.642,1.0
AS14.08,2014-03-27 19:31:21.894,1.0
AS14.08,2014-03-27 19:31:36.859,1.0
AS14.08,2014-03-27 19:31:59.509,1.0
AS14.08,2014-03-27 19:42:37.036,1.0
AS14.08,2014-03-28 11:52:04.038,1.0
AS14.08,2014-03-28 11:52:32.234,1.0
AS14.08,2014-03-28 11:52:46.338,1.0
AS14.08,2014-03-28 11:59:12.039,1.0
AS14.08,2014-03-28 12:05:52.799,1.0
AS14.08,2014-03-28 12:11:48.009,1.0
AS14.08,2014-03-28 12:52:34.872,1.0
AS14.08,2014-03-28 13:24:09.253,1.0
AS14.08,2014-03-28 14:44:06.365,1.0
AS14.08,2014-03-28 17:04:04.801,1.0
AS14.08,2014-03-28 18:02:14.719,1.0
AS14.08,2014-03-28 18:49:05.841,1.0
AS14.08,2014-03-29 21:11:20.950,1.0
AS14.08,2014-03-29 21:11:56.217,1.0
AS14.08,2014-04-07 10:38:52.632,1.0
AS14.08,2014-04-07 10:40:20.634,1.0
AS14.08,2014-04-07 10:40:49.505,1.0
AS14.08,2014-04-07 11:06:31.180,1.0
AS14.08,2014-04-07 11:07:07.882,1.0
AS14.08,2014-04-07 11:15:57.528,1.0
AS14.08,2014-04-27 12:01:59.091,1.0
AS14.08,2014-04-27 12:49:31.325,1.0
AS14.08,2014-04-27 12:50:44.217,1.0
AS14.09,2014-02-25 16:09:15.533,1.0
AS14.09,2014-02-25 16:10:12.891,1.0
AS14.09,2014-02-28 12:31:40.000,1.0
AS14.09,2014-02-28 12:58:38.000,1.0
AS14.09,2014-02-28 13:13:06.224,1.0
AS14.09,2014-02-28 13:14:23.315,1.0
AS14.09,2014-02-28 13:26:56.000,1.0
AS14.09,2014-03-01 19:15:10.000,1.0
AS14.09,2014-03-05 18:04:16.000,1.0
AS14.09,2014-03-07 22:18:08.000,1.0
AS14.09,2014-03-08 00:10:02.000,1.0
AS14.09,2014-03-08 00:30:41.000,1.0
AS14.09,2014-03-08 01:27:24.979,1.0
AS14.09,2014-03-08 01:32:03.000,1.0
AS14.09,2014-03-08 11:14:12.664,1.0
AS14.09,2014-03-08 12:50:44.000,1.0
AS14.09,2014-03-09 11:38:24.174,1.0
AS14.09,2014-03-09 11:43:12.000,1.0
AS14.09,2014-03-09 13:11:50.335,1.0
AS14.09,2014-03-12 13:04:52.000,1.0
AS14.09,2014-03-19 11:31:20.000,1.0
AS14.09,2014-03-19 11:46:15.000,1.0
AS14.09,2014-03-19 11:49:02.000,1.0
AS14.09,2014-03-19 11:49:44.000,1.0
AS14.09,2014-03-21 18:49:53.000,1.0
AS14.09,2014-03-23 13:02:13.000,1.0
AS14.09,2014-03-26 08:58:13.000,1.0
AS14.09,2014-03-26 16:09:09.000,1.0
AS14.09,2014-03-30 15:13:11.000,1.0
AS14.09,2014-04-04 09:39:40.000,1.0
AS14.09,2014-04-08 15:55:36.000,1.0
AS14.09,2014-04-13 23:05:04.000,1.0
AS14.09,2014-04-14 19:10:13.000,1.0
