id,time,appCat.social
AS14.01,2014-04-01 20:31:17.319,70.384
AS14.01,2014-04-01 20:33:46.155,8.004
AS14.01,2014-04-01 20:34:41.677,7.467
AS14.01,2014-04-01 20:37:09.693,5.826
AS14.01,2014-04-01 20:37:42.033,9.695
AS14.01,2014-04-01 20:38:52.002,25.233
AS14.01,2014-04-01 20:39:24.496,7.859
AS14.01,2014-04-01 20:42:02.730,1.005
AS14.01,2014-04-01 21:05:32.994,78.657
AS14.01,2014-04-01 21:10:59.576,6.109
AS14.01,2014-04-01 21:11:14.767,13.034
AS14.01,2014-04-01 21:27:52.155,82.439
AS14.01,2014-04-01 21:30:14.819,34.995
AS14.01,2014-04-01 21:32:47.621,9.039
AS14.01,2014-04-01 21:35:16.098,10.027
AS14.01,2014-04-01 21:35:28.144,119.349
AS14.01,2014-04-01 21:38:15.650,33.127
AS14.01,2014-04-01 21:40:53.411,3.01
AS14.01,2014-04-01 21:40:57.426,27.171
AS14.01,2014-04-01 21:43:39.371,2.005
AS14.01,2014-04-01 22:17:22.897,41.132
AS14.01,2014-04-01 22:18:52.161,15.037
AS14.01,2014-04-01 22:39:58.293,12.096
AS14.01,2014-04-01 22:41:16.239,108.387
AS14.01,2014-04-01 22:44:21.914,37.743
AS14.01,2014-04-01 22:47:19.443,22.071
AS14.01,2014-04-01 22:47:44.535,5.058
AS14.01,2014-04-01 23:16:33.233,43.127
AS14.01,2014-04-01 23:17:40.038,28.212
AS14.01,2014-04-02 07:58:26.688,60.185
AS14.01,2014-04-02 08:10:22.927,145.172
AS14.01,2014-04-02 08:13:00.135,44.264
AS14.01,2014-04-02 09:29:39.211,188.268
AS14.01,2014-04-02 09:36:19.125,13.071
AS14.01,2014-04-02 09:36:45.234,14.046
AS14.01,2014-04-02 09:39:09.013,9.188
AS14.01,2014-04-02 09:42:21.730,23.342
AS14.01,2014-04-02 09:44:02.447,541.24
AS14.01,2014-04-02 10:30:29.197,21.097
AS14.01,2014-04-02 10:32:30.338,6.51
AS14.01,2014-04-02 10:34:13.092,2.015
AS14.01,2014-04-02 11:36:20.930,12.199
AS14.01,2014-04-02 11:36:33.131,220.842
AS14.01,2014-04-02 11:41:49.354,12.306
AS14.01,2014-04-02 11:47:10.697,8.901
AS14.01,2014-04-02 11:47:24.107,9.058
AS14.01,2014-04-02 11:47:35.178,22.233
AS14.01,2014-04-02 11:50:00.502,3.018
AS14.01,2014-04-02 11:52:53.506,9.043
AS14.01,2014-04-02 12:03:54.786,6.231
AS14.01,2014-04-02 12:50:46.974,88.559
AS14.01,2014-04-02 13:03:51.746,44.33
AS14.01,2014-04-02 13:50:57.096,39.809
AS14.01,2014-04-02 13:51:49.970,61.667
AS14.01,2014-04-02 13:53:21.924,4.017
AS14.01,2014-04-02 14:01:16.022,283.507
AS14.01,2014-04-02 14:06:36.812,75.132
AS14.01,2014-04-02 14:07:53.894,8.554
AS14.01,2014-04-02 14:09:50.180,2.076
AS14.01,2014-04-02 14:46:37.448,33.117
AS14.01,2014-04-02 14:48:26.203,28.42
AS14.01,2014-04-02 15:02:07.520,3.597
AS14.01,2014-04-02 15:09:26.595,2.041
AS14.01,2014-04-02 15:09:37.671,1.555
AS14.01,2014-04-02 15:26:40.595,3.018
AS14.01,2014-04-02 16:36:07.823,49.389
AS14.01,2014-04-02 16:37:36.542,80.507
AS14.01,2014-04-02 16:39:02.085,25.092
AS14.01,2014-04-02 16:57:27.671,26.065
AS14.01,2014-04-02 17:40:05.443,34.101
AS14.01,2014-04-02 20:01:41.881,200.203
AS14.01,2014-04-02 20:05:06.165,205.52
AS14.01,2014-04-02 20:08:40.003,25.156
AS14.01,2014-04-02 20:09:08.198,15.19
AS14.01,2014-04-02 20:39:41.596,92.377
AS14.01,2014-04-02 20:43:01.095,185.939
