id,time,appCat.game
AS14.27,2014-04-04 09:40:13.953,7.157
AS14.27,2014-04-04 15:02:22.233,26.106
AS14.27,2014-04-04 15:02:53.368,80.004
AS14.27,2014-04-04 17:18:08.221,6.037
AS14.27,2014-04-04 17:18:15.266,18.955
AS14.27,2014-04-04 17:19:07.586,48.254
AS14.27,2014-04-04 17:19:56.851,52.254
AS14.27,2014-04-05 11:08:10.400,14.964
AS14.27,2014-04-05 11:08:56.378,1.887
AS14.27,2014-04-05 11:10:54.220,19.702
AS14.27,2014-04-05 11:15:01.016,30.142
AS14.27,2014-04-05 22:21:51.068,78.268
AS14.27,2014-04-05 22:23:11.355,63.288
AS14.27,2014-04-05 22:56:15.371,2.005
AS14.27,2014-04-06 19:09:25.262,14.878
AS14.27,2014-04-06 19:09:41.289,46.214
AS14.27,2014-04-06 19:10:30.519,12.037
AS14.27,2014-04-06 19:10:43.565,63.275
AS14.27,2014-04-07 18:44:08.414,66.967
AS14.27,2014-04-07 18:45:21.414,17.097
AS14.27,2014-04-07 21:35:42.619,37.166
AS14.27,2014-04-08 08:46:40.323,57.23
AS14.27,2014-04-08 08:47:41.578,13.049
AS14.27,2014-04-08 08:47:55.667,68.332
AS14.27,2014-04-08 17:14:51.257,68.063
AS14.27,2014-04-08 17:35:26.529,49.238
AS14.27,2014-04-09 17:34:03.095,25.088
AS14.27,2014-04-09 17:34:31.203,71.343
AS14.27,2014-04-10 13:18:26.957,43.052
AS14.27,2014-04-10 13:19:49.217,74.406
AS14.27,2014-04-10 17:46:14.697,32.152
AS14.27,2014-04-10 17:46:54.911,8.856
AS14.27,2014-04-10 18:18:57.687,31.444
AS14.27,2014-04-10 18:19:32.079,10.049
AS14.27,2014-04-10 18:31:38.914,15.101
AS14.27,2014-04-10 18:31:55.881,4.713
AS14.27,2014-04-11 09:07:03.319,17.097
AS14.27,2014-04-11 16:15:44.487,31.195
AS14.27,2014-04-11 16:16:20.703,10.099
AS14.27,2014-04-11 16:16:31.808,56.47
AS14.27,2014-04-12 11:11:35.309,3.015
AS14.27,2014-04-12 11:12:05.523,29.258
AS14.27,2014-04-12 11:15:40.352,15.058
AS14.27,2014-04-12 11:19:25.933,82.414
AS14.27,2014-04-12 20:42:18.875,12.078
AS14.27,2014-04-12 20:42:31.961,7.093
AS14.27,2014-04-13 12:41:51.937,22.831
AS14.27,2014-04-13 12:42:18.815,7.211
AS14.27,2014-04-14 20:20:44.668,17.736
AS14.27,2014-04-14 20:21:03.510,40.168
AS14.27,2014-04-14 20:21:47.700,12.047
AS14.27,2014-04-15 16:21:54.868,45.26
AS14.27,2014-04-15 16:22:43.144,10.056
AS14.27,2014-04-15 22:17:25.845,13.08
AS14.27,2014-04-15 22:17:39.933,73.311
AS14.27,2014-04-16 15:18:22.227,27.155
AS14.27,2014-04-16 15:18:52.395,85.921
AS14.27,2014-04-17 17:15:33.523,32.163
AS14.27,2014-04-17 17:16:08.697,8.119
AS14.27,2014-04-17 21:17:56.522,14.054
AS14.27,2014-04-17 22:20:15.302,57.91
AS14.27,2014-04-18 09:56:45.447,36.261
AS14.27,2014-04-19 11:10:35.608,15.03
AS14.27,2014-04-19 11:10:51.984,15.027
AS14.27,2014-04-19 11:11:08.269,9.076
AS14.27,2014-04-19 11:11:20.372,53.265
AS14.27,2014-04-19 11:12:23.904,55.85
AS14.27,2014-04-19 11:14:45.599,49.983
AS14.27,2014-04-19 11:15:37.539,36.149
AS14.27,2014-04-19 17:33:15.188,33.144
AS14.27,2014-04-19 17:33:52.355,8.151
AS14.27,2014-04-20 10:49:37.223,90.185
AS14.27,2014-04-20 10:51:08.852,15.146
AS14.27,2014-04-20 12:16:04.145,77.313
AS14.27,2014-04-20 12:17:23.470,27.106
AS14.27,2014-04-21 14:49:54.237,12.113
AS14.27,2014-04-21 14:50:07.384,18.072
AS14.27,2014-04-21 19:00:46.002,9.057
AS14.27,2014-04-21 19:00:59.150,53.267
AS14.27,2014-04-21 19:01:54.940,12.084
AS14.27,2014-04-22 08:51:24.592,9.114
AS14.27,2014-04-22 08:51:35.714,74.549
AS14.27,2014-04-22 17:22:42.858,64.402
AS14.27,2014-04-22 17:23:51.305,73.756
AS14.27,2014-04-22 17:25:05.842,6.028
AS14.27,2014-04-22 17:28:03.335,10.039
AS14.27,2014-04-22 17:28:14.384,63.275
AS14.27,2014-04-22 17:47:05.615,72.063
AS14.27,2014-04-22 17:48:20.565,5.015
AS14.27,2014-04-22 22:04:24.124,46.864
AS14.27,2014-04-23 08:54:06.961,13.068
AS14.27,2014-04-23 14:34:35.641,78.4
AS14.27,2014-04-23 20:03:54.917,47.208
AS14.27,2014-04-23 20:04:47.157,14.949
AS14.27,2014-04-23 20:05:04.176,76.353
AS14.27,2014-04-23 20:48:49.444,10.032
AS14.27,2014-04-23 20:49:00.483,29.126
AS14.27,2014-04-24 17:16:53.209,13.921
AS14.27,2014-04-24 17:17:12.311,19.081
AS14.27,2014-04-24 17:17:34.404,26.786
AS14.27,2014-04-24 22:00:04.759,12.103
AS14.27,2014-04-24 22:00:21.891,48.205
AS14.27,2014-04-25 14:39:43.039,80.42
AS14.27,2014-04-25 14:41:07.483,14.353
AS14.27,2014-04-25 14:41:32.487,70.298
AS14.27,2014-04-27 18:30:45.815,32.152
AS14.27,2014-04-27 18:31:20.993,10.227
AS14.27,2014-04-28 08:02:54.319,47.163
AS14.27,2014-04-28 08:03:44.500,70.341
AS14.27,2014-04-29 10:02:52.384,53.893
AS14.27,2014-04-29 17:33:33.365,87.457
AS14.27,2014-04-29 17:35:03.838,35.697
AS14.27,2014-04-30 08:57:38.283,35.359
AS14.27,2014-04-30 08:58:17.660,79.759
AS14.27,2014-04-30 16:26:35.298,13.073
AS14.27,2014-04-30 16:26:49.378,7.022
AS14.27,2014-04-30 22:34:09.519,14.055
AS14.27,2014-04-30 22:34:29.605,8.051
AS14.27,2014-05-01 08:44:28.049,16.12
AS14.27,2014-05-01 08:44:45.180,11.138
AS14.27,2014-05-01 16:31:00.549,26.207
AS14.27,2014-05-01 19:32:05.825,20.626
AS14.27,2014-05-01 19:32:35.286,33.136
AS14.27,2014-05-01 19:33:08.900,90.391
AS14.27,2014-05-01 19:35:13.522,14.324
AS14.27,2014-05-01 19:35:29.177,83.323
AS14.27,2014-05-01 19:42:32.890,90.372
