id,time,appCat.unknown
AS14.08,2014-05-04 01:01:00.062,23.193
AS14.09,2014-03-24 11:18:42.104,27.67
AS14.09,2014-03-24 11:28:49.895,1.005
AS14.09,2014-03-24 11:28:50.908,70.655
AS14.09,2014-03-24 11:30:27.943,3.158
AS14.09,2014-03-24 14:08:37.464,50.133
AS14.09,2014-03-24 14:12:10.630,18.362
AS14.09,2014-03-24 14:15:38.575,1.213
AS14.09,2014-03-24 14:16:04.309,72.04
AS14.09,2014-03-24 14:18:09.454,21.227
AS14.09,2014-03-24 16:23:27.822,8.036
AS14.09,2014-03-24 16:24:20.039,51.203
AS14.09,2014-03-27 16:19:36.022,48.288
AS14.09,2014-03-27 20:48:20.437,1.007
AS14.09,2014-03-27 20:48:21.447,1.005
AS14.09,2014-03-27 20:48:24.480,59.157
AS14.09,2014-03-27 21:05:30.888,3.021
AS14.09,2014-03-28 16:02:28.026,1.011
AS14.09,2014-03-28 16:02:29.038,13.154
AS14.09,2014-03-28 20:46:50.947,3.027
AS14.09,2014-04-01 17:35:46.552,620.648
AS14.09,2014-04-01 21:22:35.029,108.856
AS14.09,2014-04-03 09:53:10.615,1.009
AS14.09,2014-04-03 09:53:11.720,79.238
AS14.09,2014-04-06 23:54:20.733,4.098
AS14.09,2014-04-10 22:57:21.250,77.658
AS14.09,2014-04-11 18:56:01.923,1.006
AS14.09,2014-04-11 18:56:02.936,58.761
AS14.09,2014-04-11 18:57:06.119,61.243
AS14.09,2014-04-11 18:58:08.322,28.863
AS14.09,2014-04-11 19:00:00.335,1.737
AS14.09,2014-04-11 19:00:17.832,1.697
AS14.09,2014-04-17 14:32:49.473,37.803
AS14.09,2014-04-17 14:37:47.023,1.049
AS14.09,2014-04-17 14:37:51.141,107.649
AS14.09,2014-04-17 14:40:34.407,3.067
AS14.09,2014-04-17 14:48:46.480,2.073
AS14.09,2014-04-21 17:56:53.671,108.031
AS14.09,2014-04-23 21:02:37.668,30.26
AS14.09,2014-04-25 11:09:03.631,1.007
AS14.09,2014-04-25 11:09:04.657,51.932
AS14.09,2014-04-25 16:35:16.269,16.144
AS14.09,2014-04-25 16:39:23.818,2.177
AS14.12,2014-03-29 19:37:32.572,7.026
AS14.12,2014-03-29 19:37:58.869,3.01
AS14.12,2014-03-29 19:38:01.884,2.074
AS14.12,2014-03-29 21:29:17.292,33.148
AS14.12,2014-03-29 21:29:50.441,4.01
AS14.12,2014-03-29 21:29:59.483,1.002
