id,time,appCat.entertainment
AS14.01,2014-04-14 09:33:05.020,2.05
AS14.01,2014-04-14 09:36:10.750,237.056
AS14.01,2014-04-14 09:40:08.825,141.005
AS14.01,2014-04-14 10:10:51.604,38.159
AS14.01,2014-04-14 10:11:31.788,119.552
AS14.01,2014-04-14 13:37:47.190,242.4
AS14.01,2014-04-14 14:16:30.736,120.408
AS14.01,2014-04-14 14:19:28.206,9.043
AS14.01,2014-04-14 14:19:38.263,1.002
AS14.01,2014-04-14 14:19:47.303,157.727
AS14.01,2014-04-14 14:22:31.065,81.419
AS14.01,2014-04-14 14:29:31.469,17.078
AS14.01,2014-04-14 14:30:06.815,11.039
AS14.01,2014-04-14 19:26:08.609,211.128
AS14.01,2014-04-14 19:29:44.798,297.291
AS14.01,2014-04-14 19:35:46.329,63.202
AS14.01,2014-04-14 21:56:01.631,39.198
AS14.01,2014-04-14 22:18:44.137,48.474
AS14.01,2014-04-14 23:39:25.479,240.268
AS14.01,2014-04-15 08:30:12.062,55.135
AS14.01,2014-04-15 08:59:07.714,35.209
AS14.01,2014-04-15 09:03:23.602,64.449
AS14.01,2014-04-15 10:55:05.424,54.225
AS14.01,2014-04-15 15:31:21.490,34.357
AS14.01,2014-04-15 15:32:06.996,32.137
AS14.01,2014-04-15 17:28:41.865,172.915
AS14.01,2014-04-15 17:31:34.782,24.081
AS14.01,2014-04-15 17:31:58.874,18.061
AS14.01,2014-04-15 20:14:51.831,37.447
AS14.01,2014-04-15 20:15:38.617,51.26
AS14.01,2014-04-15 20:27:10.132,88.582
AS14.01,2014-04-15 20:28:58.131,30.118
AS14.01,2014-04-15 20:31:25.773,2.159
AS14.01,2014-04-15 20:53:23.384,2.008
AS14.01,2014-04-15 20:53:25.394,139.062
AS14.01,2014-04-15 22:45:55.734,30.024
AS14.01,2014-04-15 22:51:51.351,5.021
AS14.01,2014-04-15 23:06:04.717,68.272
AS14.01,2014-04-16 10:27:57.805,34.259
AS14.01,2014-04-16 10:40:59.612,4.803
AS14.01,2014-04-16 10:45:32.391,2.837
AS14.01,2014-04-16 10:54:43.661,3.026
AS14.01,2014-04-16 11:20:13.918,86.396
AS14.01,2014-04-16 11:33:47.608,12.031
AS14.01,2014-04-16 11:34:03.763,71.996
AS14.01,2014-04-16 12:30:09.575,16.079
AS14.01,2014-04-16 12:30:32.677,2.007
AS14.01,2014-04-16 13:00:42.111,16.055
AS14.01,2014-04-16 19:23:59.223,46.716
AS14.01,2014-04-16 19:24:54.339,7.548
AS14.01,2014-04-16 19:26:07.039,1.483
AS14.01,2014-04-16 19:26:35.318,5.026
AS14.01,2014-04-16 19:33:53.227,59.21
AS14.01,2014-04-16 19:35:04.776,27.408
AS14.01,2014-04-16 19:35:34.372,16.125
AS14.01,2014-04-16 19:36:13.802,13.729
AS14.01,2014-04-17 00:18:00.140,31.467
AS14.01,2014-04-17 00:18:43.144,22.378
AS14.01,2014-04-17 20:36:17.299,38.229
AS14.01,2014-04-17 23:13:34.811,46.154
AS14.01,2014-04-17 23:49:15.299,4.013
AS14.01,2014-04-18 14:54:34.006,1.002
AS14.01,2014-04-18 15:05:02.315,23.288
AS14.01,2014-04-18 15:05:25.604,31.734
AS14.01,2014-04-18 15:06:23.062,68.026
AS14.01,2014-04-18 15:07:59.364,304.272
AS14.01,2014-04-18 15:16:59.286,217.285
AS14.01,2014-04-18 15:23:20.246,13.092
