id,time,appCat.other
AS14.02,2014-03-24 12:46:35.207,11.026
AS14.02,2014-03-24 15:02:42.400,28.171
AS14.02,2014-03-24 18:14:14.145,22.122
AS14.02,2014-03-24 22:27:51.002,10.143
AS14.02,2014-03-25 09:46:12.562,15.092
AS14.02,2014-03-25 12:35:37.596,7.058
AS14.02,2014-03-25 21:47:20.585,7.056
AS14.02,2014-03-25 21:47:30.852,7.105
AS14.02,2014-03-25 22:58:41.686,14.064
AS14.02,2014-03-26 09:24:24.799,9.366
AS14.02,2014-03-26 12:40:15.039,8.222
AS14.02,2014-03-26 17:29:29.697,8.033
AS14.02,2014-03-26 18:35:06.628,9.236
AS14.02,2014-03-26 21:26:53.637,7.093
AS14.02,2014-03-27 09:53:29.566,7.018
AS14.02,2014-03-27 12:09:29.622,11.034
AS14.02,2014-03-27 14:50:39.013,11.107
AS14.02,2014-03-27 21:05:04.068,8.023
AS14.02,2014-03-27 23:35:16.085,242.331
AS14.02,2014-03-27 23:39:43.838,168.279
AS14.02,2014-03-27 23:50:17.168,79.769
AS14.02,2014-03-27 23:51:56.759,9.848
AS14.02,2014-03-27 23:55:18.312,20.822
AS14.02,2014-03-27 23:56:44.105,67.631
AS14.02,2014-03-27 23:58:03.749,87.543
AS14.02,2014-03-27 23:59:31.990,18.448
AS14.02,2014-03-28 10:51:01.015,7.034
AS14.02,2014-03-28 12:21:35.717,11.085
AS14.02,2014-03-28 15:12:14.884,12.105
AS14.02,2014-03-28 18:32:40.176,35.22
AS14.02,2014-03-28 18:33:29.167,15.044
AS14.02,2014-03-28 18:39:59.380,8.112
AS14.02,2014-03-28 18:41:42.510,10.227
AS14.02,2014-03-28 18:50:59.598,1.915
AS14.02,2014-03-28 19:15:35.578,17.052
AS14.02,2014-03-28 21:04:55.993,7.875
AS14.02,2014-03-29 12:02:09.496,9.319
AS14.02,2014-03-29 15:16:46.976,24.192
AS14.02,2014-03-29 19:42:14.864,12.204
AS14.02,2014-03-29 23:35:50.701,7.126
AS14.02,2014-03-30 00:45:03.726,0.018
AS14.02,2014-03-30 00:46:31.628,2.857
AS14.02,2014-03-30 09:30:16.075,3.073
AS14.02,2014-03-30 10:24:06.486,12.157
AS14.02,2014-03-30 17:40:42.164,12.53
AS14.02,2014-03-30 18:17:42.375,9.203
AS14.02,2014-03-30 21:08:26.028,11.026
AS14.02,2014-03-30 21:32:42.714,5.529
AS14.02,2014-03-30 21:34:49.321,12.361
AS14.02,2014-03-30 21:49:18.006,10.21
AS14.02,2014-03-30 22:04:28.457,10.449
AS14.02,2014-03-30 22:26:33.043,5.352
AS14.02,2014-03-30 22:40:01.101,5.569
