id,time,appCat.communication
AS14.01,2014-03-24 11:57:09.005,17.933
AS14.01,2014-03-24 11:57:45.509,36.168
AS14.01,2014-03-24 11:58:43.214,2.857
AS14.01,2014-03-24 12:00:38.177,9.635
AS14.01,2014-03-24 12:02:28.066,4.868
AS14.01,2014-03-24 12:10:56.081,3.019
AS14.01,2014-03-24 12:11:08.197,9.042
AS14.01,2014-03-24 12:39:10.480,48.516
AS14.01,2014-03-24 12:43:53.023,56.247
AS14.01,2014-03-24 12:57:26.493,32.194
AS14.01,2014-03-24 13:06:37.242,12.824
AS14.01,2014-03-24 13:11:52.306,17.17
AS14.01,2014-03-24 15:26:59.996,101.001
AS14.01,2014-03-24 16:03:01.453,26.08
AS14.01,2014-03-24 16:07:49.193,32.168
AS14.01,2014-03-24 16:29:16.259,30.273
AS14.01,2014-03-24 16:29:57.582,4.1
AS14.01,2014-03-24 16:30:55.085,48.674
AS14.01,2014-03-24 16:35:06.227,13.769
AS14.01,2014-03-24 16:35:27.489,6.733
AS14.01,2014-03-24 16:37:45.372,59.237
AS14.01,2014-03-24 16:41:03.815,63.619
AS14.01,2014-03-24 16:42:35.548,22.585
AS14.01,2014-03-24 16:45:24.487,9.731
AS14.01,2014-03-24 16:47:48.957,42.073
AS14.01,2014-03-24 16:50:43.293,23.398
AS14.01,2014-03-24 16:53:50.400,7.817
AS14.01,2014-03-24 17:06:36.098,100.506
AS14.01,2014-03-24 17:09:08.989,243.076
AS14.01,2014-03-24 17:13:56.286,49.257
AS14.01,2014-03-24 17:14:45.549,37.13
AS14.01,2014-03-24 17:17:57.221,36.182
AS14.01,2014-03-24 17:18:33.404,7.016
AS14.01,2014-03-24 17:18:40.421,49.855
AS14.01,2014-03-24 17:19:49.486,83.417
AS14.01,2014-03-24 17:26:38.336,11.386
AS14.01,2014-03-24 17:28:57.216,13.343
AS14.01,2014-03-24 17:34:28.098,9.179
AS14.01,2014-03-24 17:34:58.948,65.661
AS14.01,2014-03-24 17:44:24.938,23.121
AS14.01,2014-03-24 17:46:55.888,16.571
AS14.01,2014-03-24 17:51:03.414,37.794
AS14.01,2014-03-24 17:56:58.026,45.459
AS14.01,2014-03-24 18:00:44.726,2.121
AS14.01,2014-03-24 18:00:58.953,7.983
AS14.01,2014-03-24 18:01:46.032,14.13
AS14.01,2014-03-24 18:03:01.061,2.632
AS14.01,2014-03-24 18:03:06.997,13.162
AS14.01,2014-03-24 18:03:22.176,10.131
AS14.01,2014-03-24 18:23:33.861,7.053
AS14.01,2014-03-24 18:23:40.914,57.419
AS14.01,2014-03-24 18:24:40.341,57.179
AS14.01,2014-03-24 18:25:37.520,30.632
AS14.01,2014-03-24 18:26:24.989,9.033
AS14.01,2014-03-24 18:26:34.119,34.664
AS14.01,2014-03-24 18:27:33.926,57.206
AS14.01,2014-03-24 18:29:08.282,9.023
AS14.01,2014-03-24 18:29:26.345,31.392
AS14.01,2014-03-24 18:29:57.746,22.505
AS14.01,2014-03-24 18:30:44.243,37.598
AS14.01,2014-03-24 18:32:06.005,13.655
AS14.01,2014-03-24 18:32:21.957,44.132
AS14.01,2014-03-24 18:57:18.196,41.243
AS14.01,2014-03-24 19:01:49.971,59.37
AS14.01,2014-03-24 19:22:44.048,35.345
AS14.01,2014-03-24 19:23:36.874,46.198
AS14.01,2014-03-24 19:27:46.792,41.804
AS14.01,2014-03-24 19:29:39.982,11.031
AS14.01,2014-03-24 19:50:46.301,103.736
AS14.01,2014-03-24 19:53:43.128,8.357
AS14.01,2014-03-24 20:05:57.289,72.098
AS14.01,2014-03-24 20:11:03.081,37.203
AS14.01,2014-03-24 20:13:08.604,11.709
AS14.01,2014-03-24 20:13:45.269,28.185
AS14.01,2014-03-24 20:21:34.009,17.721
AS14.01,2014-03-24 20:28:01.217,197.995
AS14.01,2014-03-24 20:32:25.040,88.498
AS14.01,2014-03-24 20:34:48.157,6.056
AS14.01,2014-03-24 20:35:53.104,130.958
AS14.01,2014-03-24 20:38:43.888,21.579
AS14.01,2014-03-24 20:39:22.316,9.072
AS14.01,2014-03-24 20:39:36.927,38.293
AS14.01,2014-03-24 20:41:28.055,16.833
AS14.01,2014-03-24 20:42:29.292,7.264
AS14.01,2014-03-24 20:44:09.003,1.746
AS14.01,2014-03-24 20:47:24.111,112.804
AS14.01,2014-03-24 20:49:58.959,100.668
AS14.01,2014-03-24 20:52:34.561,10.049
AS14.01,2014-03-24 20:52:44.611,15.941
AS14.01,2014-03-24 20:55:55.003,85.987
AS14.01,2014-03-24 20:58:54.325,95.599
AS14.01,2014-03-24 21:03:04.176,19.063
AS14.01,2014-03-24 21:03:34.282,742.658
AS14.01,2014-03-24 21:16:03.553,14.536
AS14.01,2014-03-24 21:21:53.016,134.108
AS14.01,2014-03-24 21:25:19.322,1.617
AS14.01,2014-03-24 21:26:29.474,3.087
AS14.01,2014-03-24 21:26:38.137,57.223
AS14.01,2014-03-24 21:27:35.483,13.304
AS14.01,2014-03-24 21:37:38.641,13.203
AS14.01,2014-03-24 21:38:50.421,15.618
AS14.01,2014-03-24 21:40:01.311,9.467
AS14.01,2014-03-24 21:40:14.341,9.713
AS14.01,2014-03-24 21:40:37.059,9.669
AS14.01,2014-03-24 21:42:01.273,2.639
AS14.01,2014-03-24 21:43:41.188,6.397
AS14.01,2014-03-24 21:46:14.405,39.38
AS14.01,2014-03-24 21:47:26.089,3.24
AS14.01,2014-03-24 21:49:40.203,78.537
AS14.01,2014-03-24 21:51:36.436,2.566
AS14.01,2014-03-24 21:54:19.427,58.53
AS14.01,2014-03-24 21:55:23.805,3.642
AS14.01,2014-03-24 21:55:49.236,22.126
AS14.01,2014-03-24 22:00:18.332,24.155
AS14.01,2014-03-24 22:01:15.405,4.054
AS14.01,2014-03-24 22:02:00.426,3.924
AS14.01,2014-03-24 22:02:14.592,2.971
AS14.01,2014-03-24 22:03:09.375,218.577
AS14.01,2014-03-24 22:07:28.181,17.352
AS14.01,2014-03-24 22:08:16.660,15.558
AS14.01,2014-03-24 22:15:23.421,219.8
